"Collected Files Count","Kerätyt tiedostot Count" 
"Compilation","Kokoaminen" 
"Compilation State","Compilation valtio" 
"Compilation error","Käännösvirhe" 
"Compiled","Käännetty" 
"Compiled Scopes Count","Käännetty kaukoputket Count" 
"Compiler Status","Compiler Status" 
"Compiler include path is disabled.","Compiler kuuluu polku on poistettu käytöstä." 
"Compiler include path is enabled.","Compiler kuuluu polku on käytössä." 
"Directory ""%s"" must be writeable","Hakemisto ""%s"" on kirjoitettava" 
"Disable","Poista käytöstä" 
"Disabled","Disabled" 
"Enable","Enable" 
"Enabled","Käytössä" 
"File ""%s"" must be writeable","File ""%s"" on kirjoitettava" 
"Not Compiled","Ei Käännetty" 
"Run Compilation Process","Run tietojenkeruuprosessiin" 
"Scopes Compilation Settings","Scopes Compilation Settings" 
"System","Järjestelmä" 
"The compilation has completed.","Kokoelma on valmis." 
"Tools","Työkalut"
