"%s Index process is working now. Please try run this process later.","%s Indeksi prosessi toimii nyt . Yritä suorittaa tämän prosessin myöhemmin."
"%s index was rebuilt.","%s indeksi oli rakennettu uudelleen."
"'%s' Index Process Information","'%s' Index Process Information"
"Action","Action"
"Cannot initialize the indexer process.","Ei voi alustaaindeksointitoiminnon prosessi."
"Change Index Mode","Muutosindeksi Mode"
"Click here to go to <a href=""%s"">Cache Management</a> and refresh cache types.","Klikkaa tästä mennä <a href=""%s""> Cache Management </a> ja virkistää välimuisti tyyppejä."
"Click here to go to <a href=""%s"">Index Management</a> and rebuild required indexes.","Klikkaa tästä mennä <a href=""%s""> Index Management </a> ja rakentaa tarvittavat indeksit."
"Delete","Poista"
"Description","Kuvaus"
"Disable","Poista käytöstä"
"Enable","Enable"
"General","Yleiset"
"Index","Index"
"Index Description","Index Kuvaus"
"Index Management","Index Management"
"Index Mode","Index Mode"
"Index Name","Nro Nimi"
"Index mode","Index mode"
"Indexer code is not defined.","Indexer koodia ei ole määritelty."
"Indexer model is not defined.","Indexer malli ei ole määritelty."
"Indexer model should extend Mage_Index_Model_Indexer_Abstract.","Indexer malli olisi ulotettava Mage_Index_Model_Indexer_Abstract."
"Manual Update","Manual Update"
"Mode","Mode"
"Never","Ei koskaan"
"No","Ei"
"One or more of the Indexes are not up to date:","Yksi tai useampihakemistot eivät ole ajan tasalla :"
"Please select Index(es)","Valitse Index ( es )"
"Please select Indexes","Valitse hakemistot"
"Process Information","Process Information"
"Processing","Processing"
"Ready","Ready"
"Refresh","Päivitä"
"Reindex Data","Indeksoi tiedot"
"Reindex Required","Indeksoi Pakollinen"
"Revoke","Peruuta"
"Status","Tila"
"System","Järjestelmä"
"The index has been saved.","Indeksi on tallennettu."
"There was a problem with reindexing process.","Oliongelma Uudelleenindeksointi prosessi."
"There was a problem with saving process.","Oliongelma säästävä prosessi."
"Total of %d index(es) have changed index mode.","Yhteensä %d indeksin (ES ) ovat muuttuneet hakemistokuvatilassa."
"Total of %d index(es) have reindexed data.","Yhteensä %d indeksin (ES ) ovat indeksoidaan tietoja."
"Update Required","Update Pakollinen"
"Update on Save","Päivitä Save"
"Updated At","Päivitetään"
"Yes","Kyllä"
