"%s","%s"
"-- Please Select --","- Valitse -"
"Actions","Toimet"
"Add Layout Update","Lisää Layout Update"
"Add New Widget Instance","Lisää uusi Widget oikeusasteen"
"All","Kaikki"
"All Pages","Kaikki sivut"
"All Product Types","Kaikki tuotetyypit"
"Anchor Categories","Anchor Kategoriat"
"Apply","Käytä"
"Assign to Store Views","Sijoita Store Views"
"Big Image","Big Image"
"Block Reference","Block Reference"
"CMS","CMS"
"Categories","Luokat"
"Choose...","Valitse..."
"Close","Sulje"
"Continue","Jatka"
"Default Template","Oletusmalli"
"Delete","Poista"
"Design Package/Theme","Design-paketti / Theme"
"Export to:","Vie"
"Frontend Properties","Katselu Properties"
"Generic Pages","Generic sivut"
"Images","Kuvat"
"Insert Widget","Lisää widget"
"Insert Widget...","Lisää widget..."
"Layout Updates","Layout Päivitykset"
"Manage Widget Instances","Hallitse Widget instanssit"
"New Instance","Uusi oikeusasteen"
"New Widget Instance","Uusi Widget oikeusasteen"
"Next page","Seuraava"
"Non-Anchor Categories","Non - Anchor Kategoriat"
"Not Selected","Ei valittu"
"Open Chooser","Avaa Chooser"
"Page","Page"
"Please Select Block Reference First","Valitse Block Viite ensin"
"Previous page","Edellinen"
"Products","Tuotteet"
"Remove Layout Update","Poista Layout Update"
"Save and Continue Edit","Tallenna ja jatka Edit"
"Select All","Valitse kaikki"
"Select Visible","Valitse Visible"
"Settings","Asetukset"
"Sort Order","Järjestys"
"Sort Order of widget instances in the same block reference","Järjestysperustetta widget tapauksissa samassa korttelissa viittaus"
"Specific %s","Erityiset %s"
"Specified Page","Määritelty Page"
"Template","Malli"
"The information in this tab has been changed.","Tiedot tässä välilehdessä on muutettu ."
"The widget instance has been deleted.","Widget esimerkiksi on poistettu ."
"The widget instance has been saved.","Widget esimerkiksi on tallennettu ."
"This tab contains invalid data. Please solve the problem before saving.","Tämä välilehti sisältää virheellisiä tietoja. Ole hyvä ja ratkaistaongelman ennen tallentamista."
"Thumbnail","Thumbnail"
"Total %d records found","Yhteensä %d löydy"
"Type","Type"
"Unselect All","Poista kaikki"
"Unselect Visible","Poista Näkyvä"
"View","Näytä"
"Widget","Widget"
"Widget ""%s""","Widget ""%s"""
"Widget ID","Widget ID"
"Widget Insertion","Widget lisäys"
"Widget Instance","Widget oikeusasteen"
"Widget Instance Title","Widget oikeusasteen Title"
"Widget Options","Widget Options"
"Widget Type","Widget Type"
"Widget Type is not specified","Widget tyyppi ei ole määritelty"
"Widget instance is not full complete to create.","Widget esimerkiksi ei ole täysin valmis luomaan."
"Widgets","Widgetit"
"Wrong widget instance specified.","Väärä widget esimerkiksi määritelty."
"items selected","kohteita valittu"
"of %s pages","%s sivua"
"per page","sivulla"
