"3D Secure CAVV","CAVV 3D Secure"
"3D Secure Card Validation","3D Validation Secure Card"
"3D Secure Cardholder Validation","3D titulaire sécurisé de validation"
"3D Secure Electronic Commerce Indicator","3D Secure Electronic Commerce Indicateur"
"3D Secure Verification Result","Vérification Résultat 3D Secure"
"3D Secure XID","3D Secure XID"
"Card Issuer Liability","Émetteur de la carte de responsabilité"
"Card Verification","vérification de la carte"
"Enrolled","inscrits"
"Enrolled but Authentication Unavailable","Inscrits mais l'authentification disponible"
"Failed","manqué"
"MasterCard SecureCode","MasterCard SecureCode"
"Merchant Liability","Merchant responsabilité"
"Not Enrolled","non inscrits"
"Order cannot be placed.","Ordre ne peut pas être placé."
"Payment information error. Please start over.","Paiement erreur d'information. S'il vous plaît recommencer."
"Please continue with placing order.","S'il vous plaît continuer à passer commande."
"Please verify the card with the issuer bank before placing the order.","S'il vous plaît vérifier la carte avec la banque émettrice avant de passer commande."
"Please verify the card with the issuer bank:","S'il vous plaît vérifier que la carte à la banque de l'émetteur:"
"Start/Reset Validation...","Lancer / Reset validation ..."
"Successful","réussi"
"Successful attempt","tentative réussie"
"The card has failed verification with the issuer bank.","La carte a échoué à la vérification à la banque de l'émetteur."
"There has been wrong payment information submitted or the time limit has expired. Please, try again.","Il a été l'information de paiement erronées fournies ou que le délai a expiré. S'il vous plaît, essayez de nouveau."
"There has been wrong payment information submitted or time limit has expired. Please, try again.","Il a été l'information de paiement mal présenté ou délai a expiré. S'il vous plaît, essayez de nouveau."
"This card has failed validation and cannot be used.","Cette carte a échoué validation et ne peut pas être utilisé."
"To ensure the security of your transactions","Pour assurer la sécurité de vos transactions"
"Unable to complete","Impossible de terminer"
"Validation failed.","Validation a échoué."
"Verification Failed","Échec de la vérification"
"Verification Successful","vérification réussie"
"Verification cannot be processed","Vérification ne peut pas être traitée"
"Verified by Visa","Vérifié par Visa"
