"%s Index process is working now. Please try run this process later.","Le processus de l'indice de %s fonctionne maintenant. S'il vous plaît essayez exécuter ce processus plus tard."
"%s index was rebuilt.","l'indice% de a été reconstruit."
"'%s' Index Process Information","Informations Indice de processus '%s'"
"Action","Action"
"Cannot initialize the indexer process.","Impossible d'initialiser le processus d'indexation."
"Change Index Mode","Changer le mode Index"
"Click here to go to <a href=""%s"">Cache Management</a> and refresh cache types.","Cliquez ici pour aller à <a href=""%s""> gestion du cache </ a> et actualiser les types de cache."
"Click here to go to <a href=""%s"">Index Management</a> and rebuild required indexes.","Cliquez ici pour accéder à l'index <a href=""%s""> Gestion </ a> et reconstruire les index nécessaires."
"Delete","effacer"
"Description","description"
"Disable","désactiver"
"Enable","permettre"
"General","général"
"Index","index"
"Index Description","Index Description"
"Index Management","Gestion des index"
"Index Mode","Mode Index"
"Index Name","Nom de l'index"
"Index mode","Mode Index"
"Indexer code is not defined.","Code Indexer n'est pas défini."
"Indexer model is not defined.","Indexer modèle n'est pas défini."
"Indexer model should extend Mage_Index_Model_Indexer_Abstract.","Indexer modèle devrait s'étendre Mage_Index_Model_Indexer_Abstract."
"Manual Update","Mise à jour manuelle"
"Mode","Mode"
"Never","jamais"
"No","aucun"
"One or more of the Indexes are not up to date:","Un ou plusieurs des indices ne sont pas à jour:"
"Please select Index(es)","S'il vous plaît sélectionnez Index (es)"
"Please select Indexes","S'il vous plaît sélectionnez Index"
"Process Information","Informations de processus"
"Processing","traitement"
"Ready","prêt"
"Refresh","Actualiser"
"Reindex Data","réindexation des données"
"Reindex Required","reindex requis"
"Revoke","révoquer"
"Status","statut"
"System","système"
"The index has been saved.","L'indice a été enregistré."
"There was a problem with reindexing process.","Il y avait un problème avec le processus de réindexation."
"There was a problem with saving process.","Il y avait un problème avec le processus de sauvegarde."
"Total of %d index(es) have changed index mode.","Total de l'indice %d (es) ont changé le mode de l'indice."
"Total of %d index(es) have reindexed data.","Total de l'indice %d (es) ont réindexée données."
"Update Required","Mise à jour requise"
"Update on Save","Mise à jour sur Enregistrer"
"Updated At","Mise à jour à"
"Yes","oui"
