"%name% '%value%' is too long. It must has length %min% symbols.","%nom% '%value%' est trop long. Il doit a une longueur %min% symboles."
"%name% '%value%' is too short. It must has length %min% symbols.","%nom% '%value% "est trop court. Il doit a une longueur %min% symboles."
"* Required Fields","* Champs obligatoires"
"<strong>%s</strong> requests access to your account","<strong> %s </ strong> demande l'accès à votre compte"
"Admin","admin"
"After authorization application will have access to you account.","Après demande d'autorisation aura accès à votre compte."
"An error occurred on confirm authorize.","Une erreur s'est produite confirmer autoriser."
"An error occurred on delete action.","Une erreur s'est produite sur l'action de suppression."
"An error occurred on delete application.","Une erreur s'est produite à la demande de suppression."
"An error occurred on reject authorize.","Une erreur s'est produite rejeter autoriser."
"An error occurred on saving consumer data.","Une erreur s'est produite sur la sauvegarde des données de consommation."
"An error occurred on update revoke status.","Une erreur s'est produite sur le statut de révocation mise à jour."
"An error occurred while deleting the consumer.","Une erreur s'est produite lors de la suppression du consommateur."
"An error occurred.","Une erreur s'est produite."
"An error occurred. Your authorization request is invalid.","Une erreur s'est produite. Votre demande d'autorisation n'est pas valide."
"App Name","Nom App"
"Application ""%s"" has been deleted.","Application ""%s "" a été supprimé."
"Application ""%s"" has been enabled.","Application ""%s "" a été activée."
"Application ""%s"" has been revoked.","Application ""%s "" a été révoqué."
"Application Name","Nom de l'application"
"Application not found.","Demande introuvable."
"Are you sure you want to delete this application?","Etes-vous sûr de vouloir supprimer cette application?"
"Are you sure you want to disable this application?","Etes-vous sûr que vous voulez désactiver cette application?"
"Are you sure you want to enable this application?","Etes-vous sûr que vous voulez activer cette application?"
"Authorization confirmed","autorisation confirmé"
"Authorization confirmed.","Autorisation confirmé."
"Authorize","autoriser"
"Authorize application","autoriser l'application"
"Authorized Tokens","Jetons autorisés"
"Callback URL","URL de rappel"
"Cleanup Probability","nettoyage Probabilité"
"Cleanup Settings","Paramètres de nettoyage"
"Close","proche"
"Confirm OAuth token authorization","Confirmez OAuth jeton d'autorisation"
"Confirm token authorization Pop Up for admin","Confirmez jeton autorisation Pop Up pour l'admin"
"Confirm token authorization for admin","Confirmez jeton d'autorisation pour l'admin"
"Confirmation Of Authorization","Confirmation de l'autorisation"
"Consumer Information","Renseignements pour les consommateurs"
"Consumer Name","Nom de la consommation"
"Consumers","consommateurs"
"Created At","créé à"
"Customer","client"
"Customer My Account My OAuth Applications","Mon compte Mes OAuth Applications"
"Delete","effacer"
"Disable","désactiver"
"Disabled","handicapés"
"Edit","Modifier"
"Edit Consumer","Modifier des consommateurs"
"Email","Email"
"Email Address","Adresse e-mail"
"Enable","permettre"
"Enabled","activé"
"Entry with ID #%s not found.","Entrée avec ID # %s introuvable."
"Expiration Period","Période d'expiration"
"Give the verifier code to application administrator","Donnez le code de vérificateur à l'administrateur de l'application"
"ID","ID"
"Invalid Callback URL","Invalid URL de rappel"
"Invalid ID parameter.","Paramètre ID valide."
"Invalid Rejected Callback URL","Invalid Rejeté URL de rappel"
"Invalid entry ID.","Code incorrect d'entrée."
"Invalid revoke status.","Statut de révocation valide."
"Key","clé"
"Log In","Connexion"
"Log in as a customer","Connectez-vous en tant que client"
"Log in as admin","Connectez-vous en tant qu'administrateur"
"Log in as customer","Connectez-vous en tant que client"
"Log in to use <strong>%s</strong>","Connectez-vous pour utiliser <strong> %s </ strong>"
"Login","Connexion"
"My Applications","mes demandes"
"Name","nom"
"New Consumer","nouveau consommateurs"
"OAuth","OAuth"
"OAuth Admin My Apps","OAuth Administrateur Mes applications"
"OAuth Authorized Tokens","OAuth autorisé Jetons"
"OAuth Consumers","OAuth consommateurs"
"OAuth authorization Pop Up for customer","Autorisation OAuth Pop Up pour le client"
"OAuth authorization for admin","Autorisation OAuth pour l'admin"
"OAuth authorization for customer","Autorisation OAuth pour le client"
"OAuth authorization simple for admin","Autorisation OAuth simple administrateur"
"Password","mot de passe"
"Permissions","autorisations"
"Please login to proceed authorization.","S'il vous plaît vous connecter à procéder autorisation."
"Please select needed row(s).","S'il vous plaît sélectionner rangée (s) nécessaire."
"Please select revoke status.","S'il vous plaît sélectionnez l'état de révocation."
"REST - My Apps","REST - Mes applications"
"REST - OAuth Authorized Tokens","REST - Jetons autorisés OAuth"
"REST - OAuth Consumers","REST - OAuth consommateurs"
"Reject","rejeter"
"Reject OAuth token authorization","Rejeter OAuth jeton d'autorisation"
"Reject authorization","rejeter l'autorisation"
"Reject token authorization Pop Up for admin","Rejeter jeton autorisation Pop Up pour l'admin"
"Reject token authorization for admin","Rejeter jeton d'autorisation pour l'admin"
"Rejected Callback URL","Rejeté URL de rappel"
"Rejection Of Authorization","Rejet de l'autorisation"
"Revoked","révoqué"
"Role Name","rôle Nom"
"Save","sauver"
"Save and Continue Edit","Sauvegarder et continuer Modifier"
"Secret","secret"
"Selected entries enabled.","Les entrées sélectionnées activés."
"Selected entries has been deleted.","Les entrées sélectionnées ont été supprimées."
"Selected entries revoked.","Les entrées sélectionnées révoqués."
"Status","statut"
"System","système"
"The application access request is rejected.","La demande d'accès de l'application est refusée."
"The consumer has been deleted.","Le consommateur a été supprimé."
"The consumer has been saved.","Le consommateur a été enregistré."
"Token Status Change","Statut jeton changement"
"Token Status Change Email Template","Statut jeton Changement Modèle de courrier électronique"
"Unable to find a consumer.","Impossible de trouver un consommateur."
"User ID","ID de l'utilisateur"
"User Name","Nom d'utilisateur"
"User Type","Type d'utilisateur"
"Verifier code: %s","Code de contrôle: %s"
"You have no applications.","Vous n'avez pas d'applications."
"deleted","supprimé"
"enabled","permis"
"revoked","révoqué"
