"%s","%s"
"-- Please Select --","-- S'il vous plaît Choisir --"
"Actions","actes"
"Add Layout Update","Ajouter Mise à jour"
"Add New Widget Instance","Ajouter un nouveau Widget instance"
"All","tout"
"All Pages","toutes les pages"
"All Product Types","Tous les types de produit"
"Anchor Categories","ancrage Catégories"
"Apply","appliquer"
"Assign to Store Views","Attribuer à la boutique Vues"
"Big Image","Big Image"
"Block Reference","bloc de référence"
"CMS","CMS"
"Categories","catégories"
"Choose...","choisir..."
"Close","proche"
"Continue","continuer"
"Default Template","Modèle par défaut"
"Delete","effacer"
"Design Package/Theme","Package Design / Thème"
"Export to:","Exporter vers:"
"Frontend Properties","Propriétés Frontend"
"Generic Pages","Pages génériques"
"Images","Images"
"Insert Widget","Insérez Widget"
"Insert Widget...","Insert Widget..."
"Layout Updates","Mise à jour"
"Manage Widget Instances","Gérer instances Widget"
"New Instance","nouvelle instance"
"New Widget Instance","Nouveau Widget instance"
"Next page","Page suivante"
"Non-Anchor Categories","Non-ancrage Catégories"
"Not Selected","non sélectionné"
"Open Chooser","Ouvrez le Sélecteur"
"Page","Page"
"Please Select Block Reference First","S'il vous plaît Choisir référence de bloc Première"
"Previous page","page précédente"
"Products","produits"
"Remove Layout Update","Retirer Mise à jour"
"Save and Continue Edit","Sauvegarder et continuer Modifier"
"Select All","Sélectionner tout"
"Select Visible","Sélectionnez Visible"
"Settings","paramètres"
"Sort Order","Ordre"
"Sort Order of widget instances in the same block reference","Ordre des instances de widgets dans la même référence de bloc"
"Specific %s","Spécifique %s"
"Specified Page","page spécifiée"
"Template","modèle"
"The information in this tab has been changed.","Les informations contenues dans cet onglet a été changé."
"The widget instance has been deleted.","L'instance de widget a été supprimé."
"The widget instance has been saved.","L'instance de widget a été enregistré."
"This tab contains invalid data. Please solve the problem before saving.","Cet onglet contient des données invalides. S'il vous plaît résoudre le problème avant de l'enregistrer."
"Thumbnail","Vignette"
"Total %d records found","Total %d enregistrements trouvés"
"Type","type"
"Unselect All","Désélectionner tout"
"Unselect Visible","désélectionner Visible"
"View","Voir"
"Widget","Widget"
"Widget ""%s""","Widget ""%s"""
"Widget ID","Widget ID"
"Widget Insertion","insertion Widget"
"Widget Instance","instance Widget"
"Widget Instance Title","Widget Titre de l'instance"
"Widget Options","widget Options"
"Widget Type","Widget type"
"Widget Type is not specified","Widget type n'est pas spécifié"
"Widget instance is not full complete to create.","Instance de widget n'est pas plein complet pour créer."
"Widgets","Widgets"
"Wrong widget instance specified.","Mauvais exemple du widget spécifié."
"items selected","éléments sélectionnés"
"of %s pages","des pages %s de"
"per page","par page"
