" But cart has some errors.","Mais panier a quelques erreurs."
"""Description"" is more than %d characters long",""" Description "" est plus de% d caractères"
"""Title"" is more than %d characters long",""" Titre "" est plus de% d caractères"
"""id"" attribute is required for a ""%s"" field.",""" id "" attribut est obligatoire pour un champ ""%s ""."
"""line_count"" attribute is required for ""multiline"" element.",""" line_count "" attribut est obligatoire pour "" multi "" élément."
"""message"" attribute is required for ""%s"" validator rule.",""" message "" attribut est obligatoire pour ""%s "" de règle de validation."
"%1$s has been added to your wishlist.","%1$s a été ajouté à vos favoris."
"%1$s incl tax.","%1$s taxe incl."
"%s API Key required.","% s clé API nécessaire."
"%s Application ID required.","%s ID de l'application requise."
"%s Secret Key required.","Key Secret% requis."
"%s attribute is required.","l'attribut %s de est nécessaire."
"%s has been added to your cart.","%s a été ajouté à votre panier."
"(Includes more countries than those listed below. As the application owner, you are responsible for complying with country-specific laws related to the distribution or sale of your application into that country, including your home country.)","(Comprend plus de pays que ceux énumérés ci-dessous. Comme le propriétaire de l'application, vous êtes responsable du respect des lois propres à chaque pays relatifs à la distribution ou la vente de votre application dans ce pays, y compris votre pays d'origine.)"
"*Subject to change","* Sous réserve de modifications"
"10:40 AM","10:40 AM"
"80px x 80px","80px x 80px"
"80x80 px","80x80 px"
"<a href=""%s"" target=""_blank"">Login</a> to Urabn Airship.","<a href=""%s"" target=""_blank""> Connexion </ a> pour urabn dirigeable."
"A Catalog Only App will not support functions such as add to cart, add to wishlist, or login.","Un catalogue Seulement App ne soutiendra pas des fonctions telles que ajouter au panier, ajouter à la liste, ou vous identifier."
"A new password has been sent.","Un nouveau mot de passe a été envoyé."
"Account","compte"
"Account confirmation is required. Please check your email for the confirmation link.","Confirmation du compte est nécessaire. S'il vous plaît vérifier votre e-mail pour le lien de confirmation."
"Account information has been saved.","Informations du compte a été enregistré."
"Action","action"
"Activate","activer"
"Activate PayPal Checkout","Activer PayPal Checkout"
"Activate PayPal MECL","Activer PayPal MECL"
"Activation Key","Clé d'activation"
"Add App","Ajouter App"
"Add New Template","Ajouter un nouveau modèle"
"Add Page","Ajouter la page"
"Add to Cart","Ajouter au panier"
"Add to Wishlist","Ajouter à la liste"
"Additional Address","Complément d'adresse"
"Address","adresse"
"Address 2","adresse 2"
"Address data not specified.","Données d'adresses ne sont pas précisés."
"Address does not belong to this customer.","Adresse n'appartient pas à ce client."
"Address has been deleted.","Adresse a été supprimée."
"Address has been saved.","L'adresse a été enregistrée."
