" and ","og"
"(Absolute path or Relative to Magento install root, ex. var/export)","( Absolutt sti eller relativ til Magento installere root , ex . Var / eksport )"
"(For US 2-letter state names)","( For amerikanske to - brev staten navnene )"
"(If left empty will be auto-generated)","( Hvis tomt vil bli automatisk generert)"
"(Leave empty for first spreadsheet)","( La stå tom for første regneark )"
"(Products will be added/updated to this store if 'store' column is blank or missing in the import file.)","( Produktene vil bli lagt / oppdatert til denne butikken hvis ' store' kolonnen er tom eller mangler i importfilen . )"
"(Shift-)Click or drag to change value","( Shift - ) Klikk eller dra for å endre verdi"
"(Starting with)","( Fra og med )"
"(When 'No', only mapped fields will be imported. When mapping, use 'column1', 'column2', etc.)","( Når ""Nei"" , vil bare kartlagt felt importeres . Når kartlegging , bruk ' COLUMN1 ', ' COLUMN2 ' , etc. )"
"(You have to increase php memory_limit before changing this value)","( Du må øke php memory_limit før du endrer denne verdien )"
"(\t for tab)","( \ t for tab )"
"- Click on any of the time parts to increase it","- Klikk på en av tidsdelene for å øke den"
"- Hold mouse button on any of the above buttons for faster selection.","- Hold museknappen på noen av knappene over for raskere valg ."
"- or click and drag for faster selection.","- Eller klikk og dra for raskere valg ."
"- or Shift-click to decrease it","- Eller Shift - klikk for å senke"
"- Use the %s buttons to select month","- Bruk %s for å velge måned"
"- Use the %s, %s buttons to select year","- Bruk %s , %s for å velge år"
"About the calendar","Om kalenderen"
"Access Denied.","Ingen tilgang ."
"Account Created in:","Account Laget i :"
"Account Created on (%s):","Account Created on ( %s ) :"
"Account Created on:","Account Created on :"
"Action","handling"
"Actions","handlinger"
"Add","Legg"
"Add Contents Path","Legg Innhold Sti"
"Add Field with URL:","Legg til felt med URL:"
"Add Maintainer","Legg Vedlikeholder"
"Add New Role","Legg til ny rolle"
"Add new store view map","Legg ny butikk vis kart"
"Add New Template","Legg til ny mal"
"Add New User","Legg til ny bruker"
"Add new website map","Legg nytt nettsted kartet"
"Add Package dependency","Legg pakken avhengighet"
"Add PHP Extension dependency","Legg PHP Extension avhengighet"
"Add Subpackage dependency","Legg Subpackage avhengighet"
"Address Type:","Adressetype :"
"All","Alle"
"All fields","alle felt"
"All Websites","alle nettsteder"
"API:","API :"
"Archive file name:","Arkiv filnavn :"
"Are you sure that you want to delete this template?","Er du sikker på at du vil slette denne malen ?"
"Are you sure that you want to strip tags?","Er du sikker på at du vil kle koder?"
"Attribute Set Name:","Attributt Set Navn :"
"Attributes","attributter"
"Available Products","tilgjengelige produkter"
"Big Image","Big Image"
"Billing Address","Fakturaadresse"
"Bundle Items","Bundle Items"
"Bundle with dynamic pricing cannot include custom defined options. Options will not be saved.","Bunt med dynamisk prising ikke kan omfatte tilpasset definerte alternativer . Alternativene vil ikke bli lagret ."
"Card Verification Number","CVC nummer"
"Catalog","Catalog"
"Channel","Channel"
"Channel:","Kanal :"
"Choose Store View","Velg Butikk Vis"
"Client Session timeout (sec.)","Client Session timeout (sek )"
"Close","Lukk"
"Comments History","kommentarer History"
"Confirmed email:","Bekreftet epost :"
"Connect with the Magento Community","Koble med Magento samfunn"
"Contents","innhold"
"Country:","land :"
"Create a backup","Lag en sikkerhetskopi"
"Create New Staging Store View","Opprett ny Staging Butikk Vis"
"Created <strong>%s</strong> items","Laget <strong> %s </strong> elementer"
"Credit Card Number","Kredittkortnummer"
"Credit Card Number: xxxx-%s","Kredittkortnummer : xxxx - %s"
"Credit Card Type","Credit Card Type"
"Credit Card Type: %s","Credit Card Type : %s"
"Credit Memo History","Credit Memo Historie"
"Credit Memo Totals","Credit Memo Totals"
"critical","kritisk"
"CSV / Tab separated","CSV / Tab separert"
"Current Configuration Scope:","Gjeldende konfigurasjon Omfang:"
"Current Release Information","Nåværende Release Information"
"Custom","Custom"
"Customer Group:","Kundegruppe :"
"Customer Since:","Kunde siden:"
"Customers","kunder"
"Dashboard","dashbord"
"Data Format","data Format"
"Data transfer:","Dataoverføring :"
"Date selection:","Valg av dato :"
"Date selector","dato"
"Date:","Dato:"
"Decimal separator:","Desimaltegn :"
"Default (Admin) Values","Standard ( Admin ) Verdier"
"Default Values","Standardverdier"
"Delete","Slett"
"Dependencies","avhengig"
"Description:","Beskrivelse :"
"DHTML Date/Time Selector","DHTML Dato / tid Selector"
"Direction:","Regi :"
"Display %s first","Skjerm%s første"
"Distributed under GNU LGPL. See %s for details.","Distribuert under GNU LGPL . Se %s for detaljer ."
"Done by:","Utført av :"
"Done By:","Utført av :"
"Download Remote File","Last ned Remote File"
"Drag to move","Dra for å flytte"
"Edit Role","Edit Rolle"
"Edit User '%s'","Rediger bruker '%s'"
"Email","E-post"
"Email Preview","E-post Preview"
"Email:","E-post :"
"Enclose Values In:","Legg ved Verdier i:"
"Entity type:","Entity Type:"
"Excl. Tax","Eks . Skatte"
"Exclude","Ekskluder"
"Expiration Date","Utløpsdato"
"Expiration Date: %s/%s","Utløpsdato : %s / %s"
"Export","eksport"
"Export Filters","eksport Filters"
"Export to:","Eksport til :"
"Export:","eksport:"
"Extension","Extension"
"Extensions","utvidelser"
"Field Mapping","feltet Mapping"
"File Information","filinformasjon"
"File name:","Filnavn:"
"Final Price","endelig Pris"
"Finished items creation.","Ferdig elementer skapelse ."
"First Name:","Fornavn :"
"For latest version visit: %s","For nyeste versjon besøk: %s"
"From","fra"
"FTP Host[:Port]","FTP Host [ : port]"
"General Settings","Generelle innstillinger"
"Get help for this page","Hjelp til denne siden"
"Global Record Search","Globalt Record Search"
"Go Today","gå dag"
"Google Base Items","Google Base Items"
"Group:","Gruppe :"
"Help Us Keep Magento Healthy - Report All Bugs","Hjelp oss med å holde Magento sunn - Rapporter alle feil"
"Ignore","Ignorer"
"Images","Images"
"images/logo.gif","images / logo.gif"
"Import","Import"
"Import Service","Import service"
"In Database:","I Database:"
"In File:","I Fil :"
"Inactive","inaktive"
"Incl. Tax","Inkl. . Skatte"
"Include","Inkluder"
"Installed As","installert Som"
"Interactive","interaktiv"
"Interface Locale: %s","Interface Locale : %s"
"Invalid webservice adapter specified","Ugyldig webservice adapter spesifisert"
"Invalid webservice handler specified","Ugyldig webservice handler spesifisert"
"Invoice History","faktura Historie"
"Invoice Totals","fakturatotalene"
"Issue Number","Issue Number"
"Issuer: %s","Utsteder : %s"
"items selected","elementer valgt"
"Items to merge","Elementer å fusjonere"
"Last 5 Orders","Siste 5 bestillinger"
