%s was successfully added to your shopping cart.,%s ble lagt til din handlekurv.
&laquo; Back to Billing Information,&laquo; Tilbake til fakturainformasjon
&laquo; Back to Shopping Cart,&laquo; Tilbake til handlekurv
&laquo; Back to Select Addresses,&laquo; Tilbake til valg av adresser
* Required Fields,* Obligatoriske felt
"Please <a href=""%s"">continue shopping</a>.","<a href=""%s"">Fortsett &aring; handle</a>."
Address,Adresse
Address %s of %s,Adresse %s av %s
Enable Terms and Conditions,Aktiver vilk&aring;r og betingelser
Enabled,Aktivert
Already registered?,Allerede registrert?
Checkout Options,Alternativer for betaling
Other items in your order,Andre artikler i dine ordre
Qty,Antall
"Based on your selection, you may be interested in the following items:",Basert p&aring; dine valg er du kanskje ogs&aring; interessert i f&oslash;lgende produkter:
Manage Checkout Terms and Conditions,Behandle vilk&aring;r og betingelser ved utsjekk
"Sorry, guest checkout is not enabled. Please try again or contact store owner.","Beklager, gjesteutsjekk er deaktivert p&aring; denne bestillingen."
"Sorry, no quotes are available for this order at this time.",Leveringsmetoder vises etter at adresse er spesifisert.
"Sorry, Onepage Checkout is disabled.","Beklager, Onepage utsjekking er deaktivert."
Confirm Password,Bekreft passord
Estimate Shipping and Tax,Beregn fraktkostnad
Order Success,Bestillingen er mottatt
Payment Failed Emails,Betaling feilet eposter
Payment Failed Email Reciever,Betaling feilet ifm epost-mottaker
Payment Failed Email Sender,Betaling feilet ifm epost-sender
Payment Failed Template,Betaling feilet template
Payment Information,Betalingsinformasjon
Payment Method,Betalingsmetode
Payment method is not defined,Betalingsmetode er ikke oppgitt
Grouped product image,Bilde for gruppert produkt
Configurable product image,Bilde for konfigurerbart produkt
Use Billing Address,Bruk fakturaadresse
Apply Coupon,Bruk rabattkode
Store View,Butikkvisning
City,By
Checkbox text,Checkbox tekst
Disable Onepage Checkout,Deaktiver Onepage checkout
Disabled,Deaktivert
Subtotal,Delsum
"There are <a href=""%s""><strong>%s items</strong></a> in your cart.","Det er <a href=""%s""><strong>%s varer</strong></a> i din handlekurv."
"There is <a href=""%s""><strong>1 item</strong></a> in your cart.","Det er <a href=""%s""><strong>èn vare</strong></a> i din handlekurv."
There is already a customer registered using this email address,Det er allerede en kunde registrert med denne epost-adressen
There was an error processing your order. Please contact us or try again later.,Det oppstod en feil under behandling av din ordre. Vennligst kontakt oss eller pr&oslash;v igjen senere.
Details,Detaljer
This condition no longer exists,Dette vilk&aring;ret eksisterer ikke lengre
Your order number is ,Ditt ordrenummer er 
"Your order # is: <a href=""%s"">%s</a>","Ditt ordrenummer er: <a href=""%s"">%s</a>"
Your order # is: %s,Ditt ordrenummer er: %s
You have no items in your shopping cart.,Du har ingen varer i handlekurven.
You will receive an order confirmation email with details of your order and a link to track its progress.,Du vil motta en ordrebekreftelse p&aring; epost med informasjon om din bestilling og en lenke for &aring; f&oslash;lge fremdriften.
Excl. Tax,Eks mva
An error occurred in the process of payment,En feil oppstod i forbindelse med betalingen
Edit,Endre
Change,Endre
Change Billing Address,Endre fakturaadresse
Edit Items,Endre varer
Easy access to your order history and status,Enkel tilgang til ordrehistorikk og bestillingsstatus
Email Address,Epost-adresse
Are you sure you would like to remove this item from the shopping cart?,Er du sikker p&aring; at du vil fjerne denne varen fra handlekurven?
Get a Quote,Estimer kostnad
Fax,Faks
Billing Address,Fakturaadresse
Billing Information,Fakturainformasjon
Billing Information - %s,Fakturainformasjon - %s
Load customer quote error,Feil under henting av tilbud
Error while saving this condition. Please try again later.,Feil. Pr&oslash;v igjen senere.
Error while deleting this condition. Please try again later.,Feil. Pr&oslash;v igjen senere.
Company,Firma
Remove,Fjern
Remove Product,Fjern produkt
Cancel Coupon,Fjern rabattkode
Remove item,Fjern vare
Remove Item,Fjern vare
Move to Wishlist,Flytt til &oslash;nskelisten
Continue,Continue
Continue Shopping,Fortsett &aring; handle
