"Collected Files Count","Innsamlede filene Count"
"Compilation","Compilation"
"Compilation State","Compilation State"
"Compilation error","kompileringsfeil"
"Compiled","kompilert"
"Compiled Scopes Count","Kompilert Scopes Count"
"Compiler Status","kompilatoren Status"
"Compiler include path is disabled.","Kompilatoren inkluderer banen er deaktivert."
"Compiler include path is enabled.","Kompilatoren inkluderer banen er aktivert."
"Directory ""%s"" must be writeable","Katalogen ""%s"" må være skrivbar"
"Disable","Deaktiver"
"Disabled","Funksjonshemmede"
"Enable","aktiver"
"Enabled","aktivert"
"File ""%s"" must be writeable","Fil ""%s"" må være skrivbar"
"Not Compiled","ikke kompilert"
"Run Compilation Process","Kjør Compilation Process"
"Scopes Compilation Settings","Sikter Compilation Innstillinger"
"System","system"
"The compilation has completed.","Samlingen er fullført."
"Tools","verktøy"
