"%name% '%value%' is too long. It must has length %min%symbols.","%name% '%value%' is too long. It must has length %min%symbols."
"%name% '%value%' is too short. It must has length %min%symbols.","%name% '%value%' is too short. It must has length %min%symbols."
"* Required Fields","* Required Fields"
"<strong>%s</strong> requests access to your account","<strong> %s < / strong > ber om tilgang til kontoen din"
"Admin","Admin"
"After authorization application will have access to you account.","Etter autorisasjon søknad vil ha tilgang til deg konto ."
"An error occurred on confirm authorize.","Det oppstod en feil på confirm autorisere ."
"An error occurred on delete action.","Det oppstod en feil ved sletting handling ."
"An error occurred on delete application.","Det oppstod en feil ved sletting søknad ."
"An error occurred on reject authorize.","Det oppstod en feil på avvise bemyndiger."
"An error occurred on saving consumer data.","Det oppstod en feil på å spare forbrukerdata ."
"An error occurred on update revoke status.","Det oppstod en feil ved oppdatering Opphev status ."
"An error occurred while deleting the consumer.","Det oppstod en feil under sletting av forbrukeren ."
"An error occurred.","Det oppstod en feil ."
"An error occurred. Your authorization request is invalid.","Det oppstod en feil . Din autorisasjon forespørsel er ugyldig ."
"App Name","App Name"
"Application ""%s"" has been deleted.","Søknad ""%s "" har blitt slettet ."
"Application ""%s"" has been enabled.","Søknad ""%s "" har blitt aktivert ."
"Application ""%s"" has been revoked.","Søknad ""%s "" har blitt tilbakekalt ."
"Application Name","Programnavn"
"Application not found.","Søknad ikke funnet ."
"Are you sure you want to delete this application?","Er du sikker på at du vil slette denne applikasjonen ?"
"Are you sure you want to disable this application?","Er du sikker på at du vil deaktivere denne søknaden ?"
"Are you sure you want to enable this application?","Er du sikker på at du vil aktivere dette programmet ?"
"Authorization confirmed","autorisasjon bekreftet"
"Authorization confirmed.","Autorisasjon bekreftet ."
"Authorize","Riser"
"Authorize application","Riser søknad"
"Authorized Tokens","autoriserte Tokens"
"Callback URL","tilbakeringingswebadresse"
"Cleanup Probability","opprydding Sannsynlighet"
"Cleanup Settings","Opprydding Innstillinger"
"Close","Lukk"
"Confirm OAuth token authorization","Bekreft OAuth token autorisasjon"
"Confirm token authorization Pop Up for admin","Bekreft token autorisasjon Pop Up for admin"
"Confirm token authorization for admin","Bekreft token autorisasjon for admin"
"Confirmation Of Authorization","Bekreftelse av autorisasjon"
"Consumer Information","Forbrukerinformasjon"
"Consumer Name","forbruker Navn"
"Consumers","forbrukere"
"Created At","Laget"
"Customer","kunde"
"Customer My Account My OAuth Applications","Kunden Min konto OAuth Applications"
"Delete","Slett"
"Disable","Deaktiver"
"Disabled","Funksjonshemmede"
"Edit","Rediger"
"Edit Consumer","Edit Forbruker"
"Email","E-post"
"Email Address","E-postadresse"
"Enable","aktiver"
"Enabled","aktivert"
"Entry with ID #%s not found.","Entry med ID #%s ikke funnet ."
"Expiration Period","utløpsperioden"
"Give the verifier code to application administrator","Gi bekreftkodentil applikasjonen administrator"
"ID","ID"
"Invalid Callback URL","Ugyldig Callback URL"
"Invalid ID parameter.","Ugyldig ID parameter ."
"Invalid Rejected Callback URL","Ugyldig Avvist Callback URL"
"Invalid entry ID.","Ugyldig oppføring ID ."
"Invalid revoke status.","Ugyldig Opphev status ."
"Key","nøkkel"
"Log In","Logg inn"
"Log in as a customer","Logg på som kunde"
"Log in as admin","Logg inn som admin"
"Log in as customer","Logg deg inn som kunde"
"Log in to use <strong>%s</strong>","Logg inn for å bruke <strong> %s < / strong >"
"Login","innlogging"
"My Applications","Mine Applications"
"Name","navn"
"New Consumer","ny Forbruker"
"OAuth","OAuth"
"OAuth Admin My Apps","OAuth Admin My Apps"
"OAuth Authorized Tokens","OAuth Autorisert Tokens"
"OAuth Consumers","OAuth Forbrukere"
"OAuth authorization Pop Up for customer","OAuth autorisasjon Pop Up for kunde"
"OAuth authorization for admin","OAuth autorisasjon for admin"
"OAuth authorization for customer","OAuth autorisasjon for kunde"
"OAuth authorization simple for admin","OAuth autorisasjon enkelt for admin"
"Password","passord"
"Permissions","tillatelser"
"Please login to proceed authorization.","Vennligst logg inn for å fortsette autorisasjon ."
"Please select needed row(s).","Vennligst velg nødvendig rad (er ) ."
"Please select revoke status.","Vennligst velg Opphev status ."
"REST - My Apps","REST - Mine Apps"
"REST - OAuth Authorized Tokens","REST - OAuth Autoriserte Tokens"
"REST - OAuth Consumers","REST - OAuth Forbrukere"
"Reject","Avvis"
"Reject OAuth token authorization","Avvis OAuth token autorisasjon"
"Reject authorization","Avvis autorisasjon"
"Reject token authorization Pop Up for admin","Avvis token autorisasjon Pop Up for admin"
"Reject token authorization for admin","Avvis token autorisasjon for admin"
"Rejected Callback URL","Avvist Callback URL"
"Rejection Of Authorization","Avvisning av autorisasjon"
"Revoked","opphevet"
"Role Name","rolle Navn"
"Save","lagre"
"Save and Continue Edit","Lagre og fortsett Rediger"
"Secret","Secret"
"Selected entries enabled.","Valgte oppføringer aktivert ."
"Selected entries has been deleted.","Valgte oppføringer har blitt slettet ."
"Selected entries revoked.","Valgte oppføringer inndratt ."
"Status","status"
"System","system"
"The application access request is rejected.","Søknaden tilgang forespørselen blir avvist ."
"The consumer has been deleted.","Forbrukeren har blitt slettet ."
"The consumer has been saved.","Forbrukeren har blitt lagret ."
"Token Status Change","Token statusendring"
"Token Status Change Email Template","Token Status Endre e-mal"
"Unable to find a consumer.","Å finne en forbruker klarer ."
"User ID","bruker-ID"
"User Name","brukernavn"
"User Type","Brukertype"
"Verifier code: %s","Verifier Kode : %s"
"You have no applications.","Du har ingen søknader ."
"deleted","slettet"
"enabled","aktivert"
"revoked","opphevet"
