"Billing Information","Faktureringsinformasjon"
"Change Payment Method","Endre betalingsmåte"
"Change Shipping Address","Endre leveringsadresse"
"Edit Shopping Cart","Edit Handlevogn"
"Email","E-post"
"Incl. Tax","Inkl.. Skatte"
"Items in Your Shopping Cart","Varer i handlekurven"
"No shipping method required.","Ingen fraktmetode nødvendig."
"Payment Method","Betalingsmåte"
"PayPal Account","PayPal-konto"
"PayPal Email","PayPal Email"
"Place an Order","Plasser en bestilling"
"Please select a shipping method...","Vennligst velg en leveringsmåte ..."
"Price","Pris"
"Product Name","Produktnavn"
"Qty","Antall"
"Review Order","anmeldelse Bestill"
"Shipping Address","Leveringsadresse"
"Shipping Information","Leveringsinformasjon"
"Shipping Method","Shipping Method"
"Sorry, no quotes are available for this order at this time.","Beklager, ingen sitater er tilgjengelig for denne ordren på dette tidspunktet."
"Submitting order information...","Sende ordreinformasjon ..."
"Subtotal","delsum"
"Update Shipping Method","Oppdater Shipping Method"
"You will be redirected to Paypal in a few seconds.","Du vil bli omdirigert til Paypal i noen få sekunder."
"You will be redirected to PayPal website when you place an order.","Du vil bli omdirigert til PayPal nettstedet når du foretar en bestilling."
"Your billing address will be ignored and you will be redirected to PayPal website","Faktureringsadressen vil bli ignorert, og du vil bli omdirigert til PayPal nettstedet"
