"%s","%s"
"-- Please Select --","- Velg -"
"Actions","Handlinger"
"Add Layout Update","Legg Layout Update"
"Add New Widget Instance","Legg til ny Widget Instance"
"All","Alle"
"All Pages","Alle sider"
"All Product Types","Alle produkttyper"
"Anchor Categories","Anker kategorier"
"Apply","Apply"
"Assign to Store Views","Tilordne til Store Views"
"Big Image","Big Image"
"Block Reference","Block Reference"
"CMS","CMS"
"Categories","Kategorier"
"Choose...","Velg ..."
"Close","Lukk"
"Continue","Fortsett"
"Default Template","Standardmalen"
"Delete","Delete"
"Design Package/Theme","Design Package / Theme"
"Export to:","Eksport til :"
"Frontend Properties","Frontend Properties"
"Generic Pages","Generiske sider"
"Images","Bilder"
"Insert Widget","Sett Widget"
"Insert Widget...","Sett Widget ..."
"Layout Updates","Layout Oppdateringer"
"Manage Widget Instances","Manage Widget forekomster"
"New Instance","New Forekomst"
"New Widget Instance","New Widget Instance"
"Next page","Neste side"
"Non-Anchor Categories","Non - Anker kategorier"
"Not Selected","Ikke valgt"
"Open Chooser","Open Velger"
"Page","Side"
"Please Select Block Reference First","Vennligst velg Block Reference First"
"Previous page","Forrige side"
"Products","Produkter"
"Remove Layout Update","Fjern Layout Update"
"Save and Continue Edit","Lagre og fortsett Edit"
"Select All","Select All"
"Select Visible","Velg Synlig"
"Settings","Innstillinger"
"Sort Order","Sort Order"
"Sort Order of widget instances in the same block reference","Sort Order of widget tilfeller i samme blokk referanse"
"Specific %s","Spesifikk %s"
"Specified Page","Spesifisert side"
"Template","Mal"
"The information in this tab has been changed.","Informasjonen i denne kategorien har blitt endret ."
"The widget instance has been deleted.","Den widget har blitt slettet ."
"The widget instance has been saved.","Den widget eksempel har blitt lagret ."
"This tab contains invalid data. Please solve the problem before saving.","Denne kategorien inneholder ugyldige data . Vennligst løse problemet før du lagrer ."
"Thumbnail","Miniatyr"
"Total %d records found","Totalt %d elementer funnet"
"Type","Type"
"Unselect All","Fjern all merking"
"Unselect Visible","Opphev Synlig"
"View","View"
"Widget","Widget"
"Widget ""%s""","Widget ""%s"""
"Widget ID","Widget -ID"
"Widget Insertion","Widget Insertion"
"Widget Instance","Widget Forekomst"
"Widget Instance Title","Widget Instance Tittel"
"Widget Options","Widget Options"
"Widget Type","Widget Type"
"Widget Type is not specified","Widget Type er ikke spesifisert"
"Widget instance is not full complete to create.","Widget eksempel er ikke fullt ferdig til å skape ."
"Widgets","Widgets"
"Wrong widget instance specified.","Feil widget eksempel spesifisert ."
"items selected","elementer valgt"
"of %s pages","%s sider"
"per page","per side"
