"%s","%s"
"ACL Attribute Rules","ACL Attribut Rules"
"ACL Attributes Information","ACL Egenskaper Information"
"Add","Lägg till"
"Add Admin Role","Lägg Admin Role"
"Add New Role","Lägg till en ny roll"
"Address Type","Adresstyp"
"Admin","Admin"
"Allow","Tillåt"
"An error occurred while deleting the role.","Ett fel inträffade vid borttagning rollen ."
"An error occurred while saving attribute rules.","Ett fel uppstod när sparattributregler."
"An error occurred while saving role.","Ett fel uppstod när spar roll ."
"Api Rules Information","Api Regler Information"
"Assigned","Tilldelad"
"Associate to Website","Associera till Website"
"Attribute Rules Information","Attribute Regler Information"
"Attribute Set","Attribute Set"
"Attributes","Attribut"
"Automatically Return Credit Memo Item to Stock","Återgå automatiskt kreditnota Punkt Lager"
"Back","Back"
"Backorders","Restorder"
"Base Currency","Basvaluta"
"Base Customer Balance","Base Kund Balance"
"Base Discount","Base rabatt"
"Base Discount Amount","Base Rabattbelopp",
"Base Item Subtotal","Base Punkt Delsumma"
"Base Item Subtotal Including Tax","Base Punkt Delsumma Inklusive skatt"
"Base Original Price","Base Ordinarie Pris"
"Base Price","Grundpris"
"Base Price Including Tax","Base Pris inklusive moms"
"Base Shipping","Base Shipping"
"Base Shipping Discount","Base sändningsrabatt"
"Base Shipping Tax","Base Shipping Skatt"
"Base Subtotal","Base Delsumma"
"Base Subtotal Including Tax","Base Delsumma Inklusive skatt"
"Base Tax Amount","Grundskattebelopp"
"Base Total Due","Base Total Due"
"Base Total Paid","Base Total Paid"
"Base Total Refunded","Base Total återbetalas"
"Buy Now URL","Köp nu URL"
"Can Be Divided into Multiple Boxes for Shipping","Kan delas upp i flera lådor för frakt"
"Canceled Qty","Inställd Ant"
"Catalog","Katalog"
"Catalog Product","Katalog Produkten"
"CatalogInventory","CatalogInventory"
"Category ID","Kategori -ID"
"City","City",
"Company","Bolaget"
"Country","Land"
"Coupon Code","Kupongkod"
"Create","Create"
"Create Permanent Redirect for old URL","Skapa Permanent Redirect för gamla URL"
"Created From","Skapad From"
"Customer","Kunden"
"Customer Address","Kundadress"
"Customer Address ID","Kund Adress -ID"
"Customer Balance","Kund Balance"
"Customer First Name","Kunden förnamn"
"Customer ID","Kund-ID"
"Customer Last Name","Kunden Efternamn"
"Customer Middle Name","Kunden Mellannamn"
"Customer Prefix","Kund Prefix"
"Customer Suffix","Kund suffix"
"Default Image","Standardbild"
"Delete","Ta bort"
"Deny","Neka"
"Disable automatic group change based on VAT ID","Inaktivera automatisk grupp förändring härrör från moms -ID"
"Discount","Rabatt"
"Discount Amount","Rabattbelopp"
"Discount Description","Rabatt Beskrivning"
"Edit","Redigera"
"Edit %s ACL attribute rules","Redigera %s ACL attributregler"
"Edit Role","Redigera roll"
"Edit attribute rules for %s Role","Ändra attribut regler för %s roll"
"Email","Skicka"
"Enable Qty Increments","Aktivera Antal steg"
"Exclude","Uteslut"
"File Content","File Content"
"File MIME Type","Fil MIME -typ"
"File Name","Filnamn"
"Final Price With Tax","Final Pris med moms"
"Final Price Without Tax","Final Pris exkl. skatt"
"First Name","Förnamn"
"Gift Message","Gift Message"
"Grand Total","Totalsumma"
"Grand Total to Be Charged","Totalsumma att laddas"
"Group","Koncernen"
"Guest","Gäst"
"Has Custom Options","Har Custom Options"
"ID","ID"
"Inventory Data","Inventory Data"
"Invoiced Qty","Fakturerad kvantitet"
"Is Confirmed","Bekräftas"
"Is Default Billing Address","Är standardfaktureringsadress"
"Is Default Shipping Address","Är standardleveransadress"
"Item ID","Artikelnummer"
"Item Subtotal","Punkt Delsumma"
"Item Subtotal Including Tax","Punkt Delsumma Inklusive skatt"
"Label","Etikett"
"Last Logged In","Senast inloggade"
"Last Name","Efternamn"
"Low Stock Date","Låg Stock datum"
"Manage Stock","Hantera Stock"
"Maximum Qty Allowed in Shopping Cart","Maximum Antal tillåtet i varukorgen"
"Minimum Qty Allowed in Shopping Cart","Minsta kvantitet tillåtet i varukorgen"
"New Role","Ny roll"
"Notify for Quantity Below","Meddela om Mängd Nedan"
"OAuth","OAuth"
"Order","Order"
"Order Addresses","Order Adresser"
"Order Comments","Beställ kommentarer"
"Order Currency","Order Valuta"
"Order Date","Orderdatum"
"Order ID","Order ID"
"Order ID (internal)","Order ID ( intern )"
"Order Item ID","Beställningsvara -ID"
"Order Items","Order Items"
"Order Status","Beställningsstatus"
"Ordered Qty","Beställd kvantitet"
"Orders","Order"
"Original Price","Ordinarie Pris"
"Parent Order Item ID","ModerbeställningsvaraID"
"Payment Method","Betalningsmetod"
"Phone Number","Telefonnummer"
"Placed from IP","Placeras från IP"
"Please enter a valid number in ""max_sale_qty"" field","Ange ett giltigt nummer I ""max_sale_qty"" fält"
"Please enter a valid number in ""min_qty"" field","Ange ett giltigt nummer I ""min_qty"" fält"
"Please enter a valid number in ""min_sale_qty"" field","Ange ett giltigt nummer I ""min_sale_qty"" fält"
"Please enter a valid number in ""notify_stock_qty"" field","Ange ett giltigt nummer I ""notify_stock_qty"" fält"
"Please use numbers only in ""category_id"" field.","Använd endast siffror I ""category_id"" fältet ."
"Please use numbers only in ""qty_increments"" field. Please avoid spaces or other characters such as dots or commas.","Använd endast siffror på ""qty_increments"" fältet . Undvik mellanslag eller andra tecken som punkter eller kommatecken ."
"Position","Position"
"Price","Pris"
"Price Including Tax","Pris inklusive moms"
"Product","Produkten"
"Product Category","Produktkategori"
"Product ID","Produkt -ID"
"Product Image","Produktbild"
"Product Type","Typ av produkt"
"Product URL","Product URL"
"Product Website","Product Website"
"Product and Custom Options Name","Produkt-och Custom Alternativ Namn"
"Qty","Antal"
"Qty Increments","Antal Inkrement"
"Qty Uses Decimals","Antal Använder Decimals"
"Qty for Item's Status to Become Out of Stock","Ant för punkt status att bli utsåld"
"REST - Attributes","REST - attribut"
"REST - Roles","REST - Roller"
"REST ACL Attributes","REST ACL Egenskaper"
"REST Attributes","REST Attributes"
"REST Role","REST Roll"
"REST Roles","REST Roles"
"REST Roles Information","VILA Roller Information"
"Read","Läs"
"Refunded Qty","Återbetald Ant"
"Regular Price With Tax","Ordinarie pris med skatt"
"Regular Price Without Tax","Ordinarie pris utan skatt"
"Rest Roles","Vila roller"
"Retrieve","Hämta"
"Role ""%s"" no longer exists","Role ""%s"" inte längre existerar"
"Role ""%s"" not found.","Role ""%s"" hittades inte ."
"Role API Resources","Role API Resurser"
"Role Info","Role Info"
"Role Information","Rollinformation"
"Role Name","Rollnamn"
"Role Users","Roll Användare"
"Role has been deleted.","Rollen har tagits bort ."
"Roles","Roller"
"SKU","SKU"
"Salability Status","SÄLJBARHET Status"
"Sales","Försäljning"
"Save","Spara"
"Shipped Qty","Levereras Ant"
"Shipping Amount","Fraktbeloppet"
"Shipping Discount","Fraktrabatt"
"Shipping Including Tax","Frakt Inklusive skatt"
"Shipping Method","Shipping Method"
"Shipping Tax","Shipping Skatt"
"State","Stat"
"Stock Availability","Aktie tillgänglighet"
"Stock ID","Stock -ID"
"Stock Item","Aktie Punkt"
"Stock Status","Lagersaldo"
"Store Currency to Order Currency Rate","Store Valuta att beställa Valuta Rate"
"Store Name","Store Name"
"Street","Street"
"Subtotal","Delsumma"
"Subtotal Including Tax","Delsumma Inklusive skatt"
"System","System"
"Tax Amount","Skattebelopp"
"Tax Name","Tax Name"
"Tax Percent","Tax Procent"
"Tax Rate","Skattesats"
"The ""enable_qty_increments"" field must be set to 0 or 1.","De ""enable_qty_increments"" fält måste ställas in på 0 eller 1 ."
"The ""is_decimal_divided"" field must be set to 0 or 1.","Den ""is_decimal_divided"" fältet måste vara inställd på 0 eller 1 ."
"The ""is_in_stock"" field must be set to 0 or 1.","Den ""is_in_stock"" fältet måste vara inställd på 0 eller 1 ."
"The ""is_qty_decimal"" field must be set to 0 or 1.","Den ""is_qty_decimal"" fältet måste vara inställd på 0 eller 1 ."
"The ""is_qty_decimal"" field must be set to 0, 1 or 2.”,"Den ""is_qty_decimal"" fält måste sättas till 0 1 eller 2 ." 
"The ""manage_stock"" field must be set to 0 or 1.","Den ""manage_stock"" fältet måste vara inställd på 0 eller 1 ."
"The ""stock_status_changed_auto"" field must be set to 0 or 1.","Den ""stock_status_changed_auto"" fältet måste vara inställd på 0 eller 1 ."
"The ""use_config_backorders"" field must be set to 0 or 1.","De ""use_config_backorders"" fält måste ställas in på 0 eller 1 ."
"The ""use_config_enable_qty_inc"" field must be set to 0 or 1.","Den ""use_config_enable_qty_inc"" fältet måste vara inställd på 0 eller 1 ."
"The ""use_config_manage_stock"" field must be set to 0 or 1.","Den ""use_config_manage_stock"" fältet måste vara inställd på 0 eller 1 ."
"The ""use_config_max_sale_qty"" field must be set to 0 or 1.","Den ""use_config_max_sale_qty"" fältet måste vara inställd på 0 eller 1 ."
"The ""use_config_min_qty"" field must be set to 0 or 1.","Den ""use_config_min_qty"" fältet måste vara inställd på 0 eller 1 ."
"The ""use_config_min_sale_qty"" field must be set to 0 or 1.","Den ""use_config_min_sale_qty"" fältet måste vara inställd på 0 eller 1 ."
"The ""use_config_notify_stock_qty"" field must be set to 0 or 1.","Den ""use_config_notify_stock_qty"" fältet måste vara inställd på 0 eller 1 ."
"The ""use_config_qty_increments"" field must be set to 0 or 1.","De ""use_config_qty_increments"" fält måste ställas in på 0 eller 1 ."
"The attribute rules were saved.","Attribut reglerna sparades ."
"The role has been saved.","Rollen har sparats ."
"The role is a special one and not for assigning it to admin users.","Rollen är en speciell och inte för att tilldela det till admin -användare ."
"Total Due","Total Due"
"Total Paid","Total betald"
"Total Refunded","Total återbetalas"
"Total Reviews Count","Totalt Recensioner Count"
"Type","Typ"
"URL","URL"
"Update","Update"
"Use Config Settings for Allow Gift Message","Använd Config inställningar för Tillåt Gift Message"
"Use Config Settings for Allow Gift Wrapping","Använd Config inställningar för Tillåt Presentpapper"
"Use Config Settings for Backorders","Använd Config Inställningar för restorder"
"Use Config Settings for Enable Qty Increments","Använd Config inställningar för Aktivera Antal steg"
"Use Config Settings for Manage Stock","Använd Config inställningar för Hantera lager"
"Use Config Settings for Maximum Qty Allowed in Shopping Cart","Använd Config inställningar för maximal Antal tillåtet i varukorgen"
"Use Config Settings for Minimum Qty Allowed in Shopping Cart","Använd Config Inställningar för Minimum Antal tillåtet i varukorgen"
"Use Config Settings for Notify for Quantity Below","Använd Config inställningar för Rätta för Mängd Nedan"
"Use Config Settings for Qty Increments","Använd Config Inställningar för Ant steg"
"Use Config Settings for Qty for Item's Status to Become Out of Stock","Använd Config Inställningar för Antal för punkt status att bli utsåld"
"User Type","Användartyp"
"User type ""%s"" no longer exists","Användartyp ""%s"" inte längre existerar"
"User type ""%s"" not found.","Användartyp ""%s"" hittades inte ."
"Web Services","Web Services"
"Web services","Webbtjänster"
"Write","Skriv"
"ZIP/Postal Code","ZIP / Postal Code"
