"--Please Select--","- Vänligen välj -"
"API Login ID","API- in ID"
"Accepted Currency","Godkända Valuta"
"Authorize.net Direct Post","Authorize.net Direkt Post"
"Card Verification Number","Card Verification Number"
"Card Verification Number Visual Reference","Card Verification Number Visual Reference"
"Close","Stäng"
"Credit Card Information","Kontokortsinformation"
"Credit Card Number","Kreditkortsnummer"
"Credit Card Type","Credit Card Type"
"Credit Card Types","Kreditkort Typer"
"Credit Card Verification","Credit Card Verification"
"Debug","Debug"
"Email Customer","E- Kund"
"Enabled","Aktiverad"
"Expiration Date","Utgångsdatum"
"Gateway URL","Gateway URL"
"Maximum Order Total","Maximum Order Total"
"Merchant MD5","Merchant MD5"
"Merchant's Email","Köpmannens Skicka"
"Minimum Order Total","Minimum Total"
"New Order Status","New Order Status"
"Order saving error: %s","Order spara error : %s"
"Payment Action","Betalnings åtgärd"
"Payment authorization error.","Betalningstillståndfel ."
"Payment authorization error. Transacion id is empty.","Betalningstillståndfel. Transacion id är tom."
"Payment error. Order was not found.","Betalningsfel. Order inte hittades."
"Payment error. Paid amount doesn\'t match the order amount.","Betalningsfel. Betalt belopp inte stämmer orderbeloppet."
"Payment from Applicable Countries","Utbetalning från tillämpliga länder"
"Payment from Specific Countries","Utbetalning från vissa länder"
"Please choose payment method","Välj betalningssätt"
"Response hash validation failed. Transaction declined.","Svars hash validering misslyckades. Transaktions minskat."
"Sort Order","Sorteringsordning"
"Test Mode","Testläge"
"The order has been created.","Ordern har skapats."
"There was an error processing your order. Please contact us or try again later.","Det uppstod ett fel uppstod när din beställning . Kontakta oss gärna eller försök igen senare."
"Title","Title"
"Transaction Key","Transaktions Key"
"What is this?","Vad är det här?"
"You will be required to enter your payment details before you place an order.","Du kommer att krävas för att ange dina betalningsuppgifter innan du gör en beställning."
