"%name% '%value%' is too long. It must has length %min% symbols.","%name% '%value%' är för lång . Det måste har längden %min% symboler."
"%name% '%value%' is too short. It must has length %min% symbols.","%name% '%value%' är för kort . Det måste har längden %min% symboler."
"* Required Fields","* Obligatoriska fält"
"<strong>%s</strong> requests access to your account","<strong> %s </strong> begär åtkomst till ditt konto"
"Admin","Admin"
"After authorization application will have access to you account.","Efter ansökan om godkännande kommer att ha tillgång till ditt konto."
"An error occurred on confirm authorize.","Ett fel inträffade på bekräfta godkänner."
"An error occurred on delete action.","Ett fel inträffade på delete handling."
"An error occurred on delete application.","Ett fel inträffade på delete tillämpning."
"An error occurred on reject authorize.","Ett fel inträffade på avvisa godkänner."
"An error occurred on saving consumer data.","Ett fel inträffade på sparkonsumentdata."
"An error occurred on update revoke status.","Ett fel inträffade på uppdaterings revoke status."
"An error occurred while deleting the consumer.","Ett fel inträffade vid borttagning av konsumenten."
"An error occurred.","Ett fel uppstod."
"An error occurred. Your authorization request is invalid.","Ett fel uppstod . Din förfrågan tillstånd är ogiltigt."
"App Name","App Name"
"Application ""%s"" has been deleted.","Application ""%s"" har tagits bort."
"Application ""%s"" has been enabled.","Application ""%s"" har aktiverats."
"Application ""%s"" has been revoked.","Application ""%s"" har återkallats."
"Application Name","Programnamn"
"Application not found.","Ansökan hittades inte."
"Are you sure you want to delete this application?","Är du säker på att du vill ta bort det här programmet?"
"Are you sure you want to disable this application?","Är du säker på att du vill inaktivera det här programmet?"
"Are you sure you want to enable this application?","Är du säker på att du vill aktivera det här programmet?"
"Authorization confirmed","Authorization bekräftade"
"Authorization confirmed.","Authorization bekräftat."
"Authorize","Verifiera"
"Authorize application","Auktorisera program"
"Authorized Tokens","Auktoriserade Tokens"
"Callback URL","Callback -URL"
"Cleanup Probability","Cleanup Sannolikhet"
"Cleanup Settings","Cleanup Inställningar"
"Close","Stäng"
"Confirm OAuth token authorization","Bekräfta OAuth token tillstånd"
"Confirm token authorization Pop Up for admin","Bekräfta token tillstånd Pop Up för admin"
"Confirm token authorization for admin","Bekräfta token tillstånd för admin"
"Confirmation Of Authorization","Bekräftelse av auktorisation"
"Consumer Information","Konsumentinformation"
"Consumer Name","Consumer Name"
"Consumers","Konsumenter"
"Created At","Skapad på"
"Customer","Kunden"
"Customer My Account My OAuth Applications","Kunden Mitt konto OAuth Applications"
"Delete","Ta bort"
"Disable","Inaktivera"
"Disabled","Disabled"
"Edit","Redigera"
"Edit Consumer","Redigera Konsument"
"Email","Skicka"
"Email Address","E-postadress"
"Enable","Aktivera"
"Enabled","Aktiverad"
"Entry with ID #%s not found.","Entry med ID #%s hittades inte."
"Expiration Period","Giltighetsperiod"
"Give the verifier code to application administrator","Ge kontrollanten koden till programmet administratör"
"ID","ID"
"Invalid Callback URL","Ogiltig Callback URL"
"Invalid ID parameter.","Ogiltigt ID- parametern."
"Invalid Rejected Callback URL","Ogiltig Rejected Callback URL"
"Invalid entry ID.","Ogiltig post -ID."
"Invalid revoke status.","Ogiltig revoke status."
"Key","Nyckel"
"Log In","Logga in"
"Log in as a customer","Logga in som kund"
"Log in as admin","Logga in som administratör"
"Log in as customer","Logga in som kund"
"Log in to use <strong>%s</strong>","Logga in för att använda <strong> %s </strong>"
"Login","Logga in"
"My Applications","Mina ansökningar"
"Name","Namn"
"New Consumer","New Consumer"
"OAuth","Oauth"
"OAuth Admin My Apps","OAuth Admin My Apps"
"OAuth Authorized Tokens","OAuth Auktoriserad Tokens"
"OAuth Consumers","OAuth Konsumenter"
"OAuth authorization Pop Up for customer","OAuth tillstånd Pop Up för kunden"
"OAuth authorization for admin","OAuth tillstånd för admin"
"OAuth authorization for customer","OAuth tillstånd för kunden"
"OAuth authorization simple for admin","OAuth tillstånd enkelt för admin"
"Password","Password"
"Permissions","Behörigheter"
"Please login to proceed authorization.","Logga in för att gå vidare tillstånd."
"Please select needed row(s).","Välj behövde rad (er )."
"Please select revoke status.","Välj revoke status."
"REST - My Apps","REST - Mina appar"
"REST - OAuth Authorized Tokens","REST - OAuth auktoriserade Tokens"
"REST - OAuth Consumers","REST - OAuth Konsumenter"
"Reject","Avvisa"
"Reject OAuth token authorization","Reject OAuth token tillstånd"
"Reject authorization","Avvisa tillstånd"
"Reject token authorization Pop Up for admin","Avvisa token tillstånd Pop Up för admin"
"Reject token authorization for admin","Avvisa token tillstånd för admin"
"Rejected Callback URL","Rejected Callback -URL"
"Rejection Of Authorization","Avslag på Authorization"
"Revoked","Återkallats"
"Role Name","Rollnamn"
"Save","Spara"
"Save and Continue Edit","Spara och fortsätt redigera"
"Secret","Secret"
"Selected entries enabled.","Valda poster aktiverad."
"Selected entries has been deleted.","Valda poster har tagits bort."
"Selected entries revoked.","Valda poster återkallas."
"Status","Status"
"System","System"
"The application access request is rejected.","Begäran ansökan tillgång avslås."
"The consumer has been deleted.","Konsumenten har tagits bort."
"The consumer has been saved.","Konsumenten har sparats."
"Token Status Change","Token Status Change"
"Token Status Change Email Template","Token Status Byt E-mall"
"Unable to find a consumer.","Det gick inte att hitta en konsument."
"User ID","Användar -ID"
"User Name","Användarnamn"
"User Type","Användartyp"
"Verifier code: %s","Verifier kod : %s"
"You have no applications.","Du har inga applikationer."
"deleted","raderade"
"enabled","aktiverat"
"revoked","återkallats"
