"An error occurred while clearing the external full page cache.","Ett fel uppstod när rensa externa helsida cache." 
"Cookie Lifetime (seconds)","Cookie Livstid (sekunder)" 
"Enable External Cache","Aktivera External Cache" 
"External Cache Control","External Cache Control" 
"External Full Page Cache Settings","Externa Full sidcache inställningar" 
"External full page cache.","Extern helsida cache." 
"Failed to load external cache control","Det gick inte att läsa in extern styrning cache" 
"Flush External Page Cache","Flush Extern sidcache" 
"If empty, default value will be used.","Om den är tom, kommer standardvärdet att användas." 
"The external full page cache has been cleaned.","Den externa helsida cachen har rengjorts." 
"Zend Full Page Cache","Zend Full Page Cache"
